initial_ang_1,initial_ang_2,initial_ang_3,initial_ang_4,initial_ang_5,target_pos_x,target_pos_y,target_pos_z,final_ang_1,final_ang_2,final_ang_3,final_ang_4,final_ang_5,algorithm
0,0,0,0,0,-300.278,-130.84,468.713,0.410717,2.12698,0.0398232,2.1765,0.875408,SGO_Adam
0,0,0,0,0,81.7277,-291.912,325.768,1.84368,1.51021,1.32363,1.95584,4.20914,NN_Adam
0,0,0,0,0,-401.77,-137.338,60.1908,0.329089,2.76722,0.533783,2.00704,2.19846,PSO_Adam
0,0,0,0,0,-354.189,-140.579,25.5043,0.377725,2.67855,0.663383,2.22289,2.19846,NN_Adam
0,0,0,0,0,452.603,-188.813,60.9945,5.88786,0.336051,5.19041,2.12088,5.42746,DE_Adam
0,0,0,0,0,461.949,218.821,11.4496,0.442712,5.74235,0.22197,1.82913,6.09551,SGO_Adam
0,0,0,0,0,145.618,-245.478,411.618,2.10599,1.47998,1.19777,1.80286,4.20914,NN_Adam
0,0,0,0,0,-315.337,370.995,259.207,2.27508,0.115987,0.794049,0.603204,5.78189,SGO_Adam
0,0,0,0,0,102.424,139.329,63.4656,0.936796,0.438275,6.00982,5.45616,6.01214,NN_Adam
0,0,0,0,0,-346.673,127.036,95.5042,2.79033,0.417271,4.12955,3.39249,4.00119,NN_Adam
0,0,0,0,0,-171.175,253.615,221.138,2.16444,4.81076,1.92296,2.01381,6.10103,NN_Adam
0,0,0,0,0,-254.875,115.037,8.67988,2.71734,5.22794,2.6075,5.61111,1.31569,GA_Adam
0,0,0,0,0,-304.214,71.5145,449.153,2.91055,0.400637,6.06285,2.94275,2.58357,TLBO_Adam
0,0,0,0,0,-439.542,-66.9212,129.594,0.150939,2.70999,0.439443,1.94456,6.27118,SGO_Adam
0,0,0,0,0,218.277,62.04,416.558,0.276787,1.50866,4.07415,3.45941,2.66677,DE_Adam
0,0,0,0,0,-8.00084,246.24,231.675,1.60305,1.02323,0.446255,5.3926,6.10266,NN_Adam
0,0,0,0,0,-492.276,40.4859,257.002,3.05953,0.125906,0.715681,0.681797,2.24488,SGO_Adam
0,0,0,0,0,121.081,393.609,322.954,1.27218,0.234324,5.65762,3.03816,6.04635,NN_Adam
0,0,0,0,0,-307.214,-258.638,488.224,3.84098,0.562301,0.150877,1.75632,2.37809,SGO_Adam
0,0,0,0,0,182.746,28.7382,395.166,0.155672,1.62688,3.72089,3.69702,2.66677,NN_Adam
0,0,0,0,0,250.112,-115.753,350.384,5.84962,5.69649,1.14642,2.58577,5.00851,NN_Adam
0,0,0,0,0,252.827,68.2631,158.042,0.263588,5.65795,3.18214,5.42233,4.41988,SGO_Adam
0,0,0,0,0,-107.945,317.046,349.825,1.89888,0.741574,1.03183,5.92288,2.10632,SGO_Adam
0,0,0,0,0,95.2794,115.016,432.773,0.878933,0.419087,2.478,6.01909,1.11525,NN_Adam
0,0,0,0,0,19.44,354.252,481.917,1.51582,0.219275,0.593009,1.96371,5.86181,NN_Adam
0,0,0,0,0,238.85,-232.656,452.722,5.51092,6.25744,0.84789,2.07029,5.00851,NN_Adam
0,0,0,0,0,-153.873,121.212,80.4136,2.47414,0.272222,2.37174,4.29251,3.34738,SGO_Adam
0,0,0,0,0,213.863,-41.9386,222.048,2.94772,3.09667,1.49832,5.2079,1.13796,SGO_Adam
0,0,0,0,0,30.0882,56.9229,197.145,1.08423,1.10263,5.63562,5.00233,5.42025,GA_Adam
0,0,0,0,0,278.818,213.575,165.317,0.653591,1.23648,3.85418,2.75045,1.80483,NN_Adam
0,0,0,0,0,299.543,-73.4405,481.061,2.90106,2.7823,6.00108,1.05799,2.55046,SGO_Adam
0,0,0,0,0,-306,274.4,118.125,2.41038,0.112174,0.86937,6.05603,6.1074,NN_Adam
0,0,0,0,0,424.003,170.742,368.032,0.382665,0.757932,0.0342163,0.863141,0.53113,GA_Adam
0,0,0,0,0,-314.076,306.961,70.7946,2.36754,6.22733,0.781189,0.0381247,6.1074,NN_Adam
